date,home_team,away_team,home_score,away_score,tournament,country,neutral,shootout_winner,first_shooter,match_outcome,home_elo_pre,away_elo_pre
1905-04-30,Belgium,Netherlands,1.0,4.0,Friendly,Belgium,False,,,Away Win,1497.1987000039423,1500.0
1905-05-07,Belgium,France,7.0,0.0,Friendly,Belgium,False,,,Home Win,1490.8352836947352,1506.363584120742
1905-05-14,Netherlands,Belgium,4.0,0.0,Friendly,Netherlands,False,,,Home Win,1506.3634163092072,1494.643038071122
1905-07-21,Guyana,Trinidad and Tobago,1.0,4.0,Friendly,British Guiana,False,,,Away Win,1500.0,1500.0
1905-08-15,Argentina,Uruguay,0.0,0.0,Copa Lipton,Argentina,False,,,Draw,1499.8320407550777,1500.1679592449223
1906-02-17,Northern Ireland,England,0.0,5.0,British Home Championship,Ireland,False,,,Away Win,1360.037671288687,1657.8782861043414
1906-03-03,Scotland,Wales,0.0,2.0,British Home Championship,Scotland,False,,,Away Win,1615.2656126988159,1369.0419803548095
1906-03-17,Northern Ireland,Scotland,0.0,1.0,British Home Championship,Ireland,False,,,Away Win,1355.1870845436076,1597.6643599907954
1906-03-19,Wales,England,0.0,1.0,British Home Championship,Wales,False,,,Away Win,1386.64323306283,1662.728872849421
1906-03-29,Jersey,Guernsey,1.0,2.0,Muratti Vase,Jersey,False,,,Away Win,1487.390723106448,1519.8079768974944
1906-04-01,Hungary,Czechoslovakia,1.0,1.0,Friendly,Hungary,False,,,Draw,1498.6896450786592,1496.3527787726532
1906-04-02,Wales,Northern Ireland,4.0,4.0,British Home Championship,Wales,False,,,Draw,1381.3178336145559,1349.0725123580485
1906-04-02,Guernsey,Alderney,1.0,0.0,Muratti Vase,Guernsey,False,,,Home Win,1531.7289966971962,1492.8012999960577
1906-04-07,Scotland,England,2.0,1.0,British Home Championship,Scotland,False,,,Home Win,1603.7789321763546,1668.054272297695
1906-04-22,France,Belgium,0.0,5.0,Friendly,France,False,,,Away Win,1502.5558297443552,1491.1976089580958
1906-04-29,Belgium,Netherlands,5.0,0.0,Friendly,Belgium,False,,,Home Win,1497.7474702743555,1509.8088454222334
1906-05-13,Netherlands,Belgium,2.0,3.0,Friendly,Netherlands,False,,,Away Win,1506.0480340382483,1501.5082816583406
1906-08-15,Uruguay,Argentina,0.0,2.0,Copa Lipton,Uruguay,False,,,Away Win,1502.9603470339173,1497.0396529660827
1906-10-07,Czechoslovakia,Hungary,4.0,4.0,Friendly,Bohemia,False,,,Draw,1497.784361174677,1497.2580626766353
1906-10-21,Argentina,Uruguay,2.0,1.0,Copa Newton,Argentina,False,,,Home Win,1509.997230429297,1490.002769570703
1906-11-04,Hungary,Austria,3.0,1.0,Friendly,Hungary,False,,,Home Win,1498.6656893964432,1504.9575761486876
1907-02-16,England,Northern Ireland,1.0,0.0,British Home Championship,England,False,,,Home Win,1659.0789021576534,1352.7050798201083
1907-02-23,Northern Ireland,Wales,2.0,3.0,British Home Championship,Ireland,False,,,Away Win,1350.9466403153722,1377.685266152496
1907-03-04,Wales,Scotland,1.0,0.0,British Home Championship,Wales,False,,,Home Win,1389.7631917760157,1612.7543023163962
1907-03-16,Scotland,Northern Ireland,3.0,0.0,British Home Championship,Scotland,False,,,Home Win,1599.3551483329657,1338.8687146918526
1907-03-18,England,Wales,1.0,1.0,British Home Championship,England,False,,,Draw,1660.8373416623895,1403.1623457594462
1907-03-21,Alderney,Jersey,1.0,2.0,Muratti Vase,Guernsey,True,,,Away Win,1486.5996434687968,1475.4697033067462
1907-04-04,Jersey,Guernsey,2.0,3.0,Muratti Vase,Jersey,False,,,Away Win,1485.7899391997291,1537.930653224457
1907-04-06,England,Scotland,1.0,1.0,British Home Championship,England,False,,,Draw,1653.100379197114,1601.5859079705347
1907-04-07,Hungary,Czechoslovakia,5.0,2.0,Friendly,Hungary,False,,,Home Win,1502.3488976550282,1496.3767344548692
